"14’500","0.00","0.77", 
"14’600","0.75","0.77", 
"15’000","3.85","0.77", 
"16’000","11.55","0.77", 
"17’000","19.25","0.77", 
"18’000","26.95","0.77", 
"19’000","34.65","0.77", 
"20’000","42.35","0.77", 
"21’000","50.05","0.77", 
"22’000","57.75","0.77", 
"23’000","65.45","0.77", 
"24’000","73.15","0.77", 
"25’000","80.85","0.77", 
"26’000","88.55","0.77", 
"27’000","96.25","0.77", 
"28’000","103.95","0.77", 
"29’000","111.65","0.77", 
"30’000","119.35","0.77", 
"31’000","127.05","0.77", 
"31’700","132.55","0.88", 
"32’000","135.15","0.88", 
"33’000","144.00","0.88", 
"34’000","152.75","0.88", 
"35’000","161.55","0.88", 
"36’000","170.35","0.88", 
"37’000","179.15","0.88", 
"38’000","187.95","0.88", 
"39’000","196.75","0.88", 
"40’000","205.55","0.88", 
"41’000","214.35","0.88", 
"41’500","220.50","2.64", 
"42’000","233.70","2.64", 
"43’000","260.10","2.64", 
"44’000","286.50","2.64", 
"45’000","312.90","2.64", 
"46’000","339.30","2.64", 
"47’000","365.70","2.64", 
"48’000","392.10","2.64", 
"49’000","418.50","2.64", 
"50’000","444.90","2.64", 
"51’000","471.30","2.64", 
"52’000","497.70","2.64", 
"53’000","524.10","2.64", 
"54’000","550.50","2.64", 
"55’000","576.90","2.64", 
"55’300","585.15","2.97", 
"56’000","605.95","2.97", 
"57’000","635.65","2.97", 
"58’000","665.35","2.97", 
"59’000","695.05","2.97", 
"60’000","724.75","2.97", 
"61’000","754.45","2.97", 
"62’000","784.15","2.97", 
"63’000","813.85","2.97", 
"64’000","843.55","2.97", 
"65’000","873.25","2.97", 
"66’000","902.95","2.97", 
"67’000","932.65","2.97", 
"68’000","962.35","2.97", 
"69’000","992.05","2.97", 
"70’000","1’021.75","2.97", 
"71’000","1’051.45","2.97", 
"72’000","1’081.15","2.97", 
"72’600","1’101.90","5.94", 
"73’000","1’125.70","5.94", 
"74’000","1’185.10","5.94", 
"75’000","1’244.50","5.94", 
"76’000","1’303.90","5.94", 
"77’000","1’363.30","5.94", 
"78’000","1’422.70","5.94", 
"78’200","1’435.20","6.60", 
"79’000","1’488.00","6.60", 
"80’000","1’554.00","6.60", 
"85’000","1’884.00","6.60", 
"90’000","2’214.00","6.60", 
"95’000","2’544.00","6.60", 
"100’000","2’874.00","6.60", 
"103’700","3’120.40","8.80", 
"110’000","3’674.80","8.80", 
"120’000","4’554.80","8.80", 
"130’000","5’434.80","8.80", 
"134’700","5’850.60","11.00", 
"140’000","6’433.60","11.00", 
"150’000","7’533.60","11.00", 
"176’100","10’406.80","13.20", 
"200’000","13’561.60","13.20", 
"250’000","20’161.60","13.20", 
"300’000","26’761.60","13.20", 
"350’000","33’361.60","13.20", 
"400’000","39’961.60","13.20", 
"450’000","46’561.60","13.20", 
"500’000","53’161.60","13.20", 
"550’000","59’761.60","13.20", 
"600’000","66’361.60","13.20", 
"650’000","72’961.60","13.20", 
"700’000","79’561.60","13.20", 
"750’000","86’161.60","13.20", 
"755’300","86’859.50","11.50", 
"800’000","92’000.00","11.50", 
"850’000","97’750.00","11.50", 
